LoanAmount,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
24600,"QUICK CASH OF ILLINOIS, INC.",1202 SHIPLEY ST,SPRINGDALE,AR,72764,522291,Subchapter S Corporation,White,Male Owned,Unanswered,,5,4/15/2020,First State Bank,IL-13
17400,"TQC, INC.",1202 Shipley Street,SPRINGDALE,AR,72764,522291,Subchapter S Corporation,White,Female Owned,Unanswered,,3,4/9/2020,First State Bank,MS-02
9100,"HIGHLAND QUICK  CASH, INC.",1202 SHIPLEY ST,SPRINGDALE,AR,72764,522291,Subchapter S Corporation,White,Male Owned,Unanswered,,3,4/15/2020,First State Bank,IL-15
8900,"KILLER B TRANSPORT, INC.",1540 Birchwood Lane,GREENWOOD,AR,72936,488510,Subchapter S Corporation,White,Male Owned,Unanswered,,2,4/14/2020,First State Bank,WY-
4240,TRIPLE J WELDING,3102-6 East McKenzie Avenue,Pocola,AR,74902,811118,Sole Proprietorship,White,Male Owned,Non-Veteran,,2,4/28/2020,Farmers Bank,OK-02
89900,"WORKAMERICA, INC.",13901 N PROSPECT TRL,FOUNTAIN HILLS,AZ,85268,424320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/9/2020,KeyBank National Association,PA-18
86400,AP WAX IV LLC,PO BOX 1179,CAREFREE,AZ,85377,812112,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,14,4/9/2020,"BankUnited, National Association",FL-07
80745,"JORGENSEN HEALTHCARE ASSOCIATES, INC.",7467 N. ORACLE ROAD,TUCSON,AZ,84704,999990,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
60105,SHAWN THOMPSON LLC,7138 E. Highway 60,GOLD CANYON,AZ,85218,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,5/1/2020,"JPMorgan Chase Bank, National Association",
51890,RANDALL PETERSON INSURANCE AGENCY,1000 W APACHE TRL,APACHE JUNCTION,AZ,85220,,Corporation,Unanswered,Unanswered,Unanswered,,5,5/1/2020,"JPMorgan Chase Bank, National Association",
49950,MAYA &AMP; BROTHERS L.L.C. DBA GROWING STEPS CHILDCARE &AMP;,311 SW Water St,PEORIA,AZ,61602,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,5/1/2020,"JPMorgan Chase Bank, National Association",IL-17
47900,ALL STAR TREE SERVICE LLC,3123 W 1st Street,Yuma,AZ,95364,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,5/1/2020,"Zions Bank, A Division of",CA-04
42990,"IRON BULL BUMPERS, LLC",11484 N CORDELL ST,CASA GRANDE,AZ,85294,423120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,5/1/2020,"JPMorgan Chase Bank, National Association",
41675,THE ORIGINAL GRAND CANYON JEEP TOURS INC,12 Cougar Dr,Grand Canyon,AZ,86026,713990,Corporation,Unanswered,Unanswered,Unanswered,,10,5/1/2020,WebBank,
38926,UNCLE SHADY'S LLC,2701 E INDIAN SCHOOL RD,PHOENIX,AZ,85106,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
34200,LUCYS PLACE LLC,3020 n highway 89,chino valley,AZ,86232,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,5/1/2020,"Zions Bank, A Division of",
31845,"CALL REALTY, INC.",2168 E. Williams Field Road,GILBERT,AZ,92078,531210,Corporation,Unanswered,Unanswered,Unanswered,,0,5/1/2020,"JPMorgan Chase Bank, National Association",CA-50
26522,CINCO PESOS INC,5321 S Superstition Mnt,GOLD CANYON,AZ,85219,999990,Corporation,Unanswered,Unanswered,Unanswered,,10,5/1/2020,"JPMorgan Chase Bank, National Association",
26265,HA!BANERO MEXICAN FOOD LLC,6555 E Southern Ave,MESA,AZ,,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,5/1/2020,"JPMorgan Chase Bank, National Association",
17784,HINDOCHA &AMP; SOMAIYA PARTNERSHIP DBA TOPAZ,10929 E APACHE TRAIL,APACHE JUNCTION,AZ,85220,,Partnership,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
16250,"ROADS OF HOPE, INC.",378 BARNDLING STREET,FAIRHOPE,AZ,36532,,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,1,5/1/2020,Hancock Whitney Bank,AL-01
15873,KPD INVESTMENTS LLC,15653 N REEMS RD STE 108,SURPRISE,AZ,88537,523130,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
8500,"AMERICAN WANDERLOVE, LLC",2885 E. GANLEY ROAD,TUCSON,AZ,86706,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,5/1/2020,"Zions Bank, A Division of",
6250,TRIPLE TEE INC,1030 E LAKEVIEW DR,QUEEN CREEK,AZ,85243,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",
5832,DOCTOR RESTORATION INC,25616 S 182ND PL,QUEEN CREEK,AZ,85242,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",
5000,PATI P. PHOTOGRAPHY,3219 E. Redwood Lane,Phoenix,AZ,85058,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/1/2020,WebBank,
4198.81,ABNEL DESHOMMES,933 Louise Ave,Charlotte,AZ,28204,,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,,5/1/2020,Celtic Bank Corporation,NC-12
134691,SAI GLOBAL MUSIC LLC,47631 HOYT STREET,FREMONT,CA,94359,999990,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,,5/1/2020,"Wells Fargo Bank, National Association",
115530,RESTAURANT KIYONO INC.,255 SOUTH BEVERLY DRIVE,BEVERLY HILLS,CA,98212,722511,Corporation,Unanswered,Unanswered,Unanswered,,16,5/1/2020,"MUFG Union Bank, National Association",
112604,PACIFIC COAST LANDSCAPING,3730 W. Commonwealth Ave,Fullerton,CA,92633,541320,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,12,5/1/2020,Customers Bank,
109461,BADII LLC,500 E COTATI AVE,COTATI,CA,94926,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
106200,"JARED T. LEE, DDS, MS, A PROFESSIONAL DENTAL CORPORATION",800 E Main St. Suite A,Santa Paula,CA,84124,,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,6,5/1/2020,"Zions Bank, A Division of",UT-04
100800,GLENDALE HOTEL LLC,10807 LAUREL ST #100,RANCHO CUCAMONGA,CA,91730,721110,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,18,4/28/2020,Bank of Hope,WI-04
100700,KELLY AUTOWORKS INC,1641 N Magnolia Ave,El Cajon,CA,92,811111,Corporation,Unanswered,Male Owned,Unanswered,,10,5/1/2020,"Zions Bank, A Division of",
97425,"HIGH VELOCITY RESTORATION, INC.",7314 E. Petterson Ln.,PARAMOUNT,CA,90273,,Corporation,Unanswered,Unanswered,Unanswered,,8,5/1/2020,"JPMorgan Chase Bank, National Association",
93750,"ART N FUN STUDIO, INC",N/A,N/A,CA,,712110,Corporation,Unanswered,Female Owned,Non-Veteran,,15,5/1/2020,"JPMorgan Chase Bank, National Association",
88018,AUTISM CENTER OF NORTHERN CALIFORNIA,870 MARKET STREET,SAN FRANCISCO,CA,94012,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,5/1/2020,"Wells Fargo Bank, National Association",
87500,BREEZE-FREE INC,6023 188TH ST SE,SNOHOMISH,CA,98296,444110,Corporation,Unanswered,Unanswered,Unanswered,,8,5/1/2020,"MUFG Union Bank, National Association",WA-01
85600,NAPERVILLE HOTEL LLC,10807 Lauren St. #100,RANCHO CUCAMONGA,CA,91730,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,4/28/2020,Bank of Hope,IL-06
85472,"JOSEPH L. MCQUIRTER, DDS, INC.","2690 PACIFIC AVE, STE 250",LONG BEACH,CA,90806,621210,Corporation,Unanswered,Unanswered,Unanswered,,9,5/1/2020,"MUFG Union Bank, National Association",
82400,MADISON HOTEL LLC,10807 LAUREL ST #100,RANCHO CUCAMONGA,CA,91730,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,4/28/2020,Bank of Hope,WI-02
78816,RIDGE ENERGY SERVICES,14265 CACHEVILLE ROAD,YOLO,CA,95657,999990,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
77003,HILDERBRAND &AMP; CLARK CPA,3180 CROW CANYON PLACE #101,SAN RAMON,CA,94883,,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
74962,TEAM ONE NETWORKING INC,7621 GALILEE ROAD,ROSEVILLE,CA,95766,541512,Corporation,Unanswered,Unanswered,Veteran,,,5/1/2020,"Wells Fargo Bank, National Association",
74119,SEASHINE PROPERTY SERVICES INC,4 PARK PLAZA,IRVINE,CA,96214,,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",AP-
68945,KATHLEEN S. LIM DDS &#X26; MICHAEL J MCCARTNEY DDS,18102 IRVINE BLVD STE 101,TUSTIN,CA,92750,,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,7,5/1/2020,"MUFG Union Bank, National Association",
67877,SOZINHO DAIRY #5,11447 8.5 AVE,HANFORD,CA,93233,561499,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
67500,"CARL LLOYD SHEELER, PHD",2725 COUNTY ROAD 250,DURANGO,CA,81301,,,Unanswered,Male Owned,Non-Veteran,,6,5/1/2020,TCF National Bank,CO-03
66368,SYNAPSE GROUP CORPORATION,1 MARKET ST.,SAN FRANCISCO,CA,95105,541511,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
64314,"DIAMOND S DAIRY,  INC",11447 8.5 AVE,HANFORD,CA,93233,112120,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
63700,HOLIDAY SKATE CENTER LLC,175 N Wayfield,Orange,CA,92876,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,5/1/2020,"Zions Bank, A Division of",
61540,HCT SUN LLC,28821 SEQUAN LANE,PINE VALLEY,CA,91952,812112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
61472,C2 RESEARCH INC.,119 pondfield road,BRONXVILLE,CA,10708,541613,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,5/1/2020,"JPMorgan Chase Bank, National Association",NY-16
61253,A&H PARTY RENTALS,10241 Hole Ave,Riverside,CA,92053,532490,Corporation,Unanswered,Unanswered,Unanswered,,11,5/1/2020,Customers Bank,
60000,BERKELEY STANDARD,2084 E. Francis st,ONTARIO,CA,91761,999990,Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,"JPMorgan Chase Bank, National Association",
57950,PARAMOUNT ELITE GYMNASTICS LLC,N/A,N/A,CA,,611620,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,5/1/2020,"JPMorgan Chase Bank, National Association",
54362,ENSLE TECH INC DBA PHONES PLUS OF AZ,2675 W. Ray Rd.,CHANDLER,CA,85224,238210,Corporation,Unanswered,Unanswered,Unanswered,,6,5/1/2020,"JPMorgan Chase Bank, National Association",AZ-09
50000,STEVE C YUN MD INC,N/A,N/A,CA,,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",
50000,CITY TRANS INC,N/A,N/A,CA,,485320,Corporation,Unanswered,Unanswered,Unanswered,,12,5/1/2020,"JPMorgan Chase Bank, National Association",
50000,MORANS CUSTOMER KITCHEN INC,14122 ORANGE AVE,PARAMOUNT,CA,95723,,Corporation,Unanswered,Unanswered,Unanswered,,5,5/1/2020,"MUFG Union Bank, National Association",
48185,CLEAN SWEEP GROUP INC,15031 RINALDI ST,MISSION HILLS,CA,91435,561720,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
48128,LIVING SOLUTIONS LLC,4137 MARAEILLE COURT,ELK GROVE,CA,95785,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
47250,GRISELDA CONTRERAS,N/A,N/A,CA,,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8,5/1/2020,"JPMorgan Chase Bank, National Association",
45833,BSH CONSULTING GROUP INC,5318 E. 2ND STREET,LONG BEACH,CA,94227,541618,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
44500,KELLYS PUB EAST  INC,719 east bradley ave,elcajon,CA,92921,,Corporation,Unanswered,Unanswered,Unanswered,,8,5/1/2020,"Zions Bank, A Division of",
41667,BAY PACK II INC,5473 PIPER LANE,OAKLEY,CA,91561,,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
39477,ROMULO MENDIVIL DBA ROMMY'S KITCHEN &#X26; CLOSETS BY DESIGN,2260 MAIN ST STE 7,CHULA VISTA,CA,91991,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,18,5/1/2020,"MUFG Union Bank, National Association",
38703,CENTRO MEDICO SU SALUD,9449 FIRESTONE BLVD,DOWNEY,CA,90271,621111,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
37627,PUNTA SAN CARLOS INC.,24145 Minnetonka Lane,Lake Forest,CA,92640,561510,Corporation,Unanswered,Male Owned,Non-Veteran,,3,5/1/2020,WebBank,
37500,RA POWER AND LIGHT LLC,N/A,N/A,CA,,541690,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/1/2020,"JPMorgan Chase Bank, National Association",
37500,SEAT COMFORT SYSTEMS,212 Technology Drive,Irvine,CA,84098,333415,Corporation,Unanswered,Unanswered,Unanswered,,0,5/1/2020,Celtic Bank Corporation,UT-01
37267,PREMIUM MOVERS INC.,2020 29th St,SACRAMENTO,CA,95281,488210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,"JPMorgan Chase Bank, National Association",
33880,CHILLER SERVICES REFRIGERANT RECOVERY RECLAMATION LLC,13564 Imperial Hwy,SANTA FE SPRINGS,CA,90671,423740,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"JPMorgan Chase Bank, National Association",
32982.5,GRACE MABALOT DBA NONE,1800 TOWN CENTER DRIVE SUITE 300,OXNARD,CA,93056,561492,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"MUFG Union Bank, National Association",
31562,"AMAZING HEARING, INC.",N/A,N/A,CA,,,Corporation,Unanswered,Unanswered,Unanswered,,5,5/1/2020,"JPMorgan Chase Bank, National Association",
30500,ORANGE COUNTY ARCHERY LLC,N/A,N/A,CA,,451110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,5/1/2020,"JPMorgan Chase Bank, National Association",
30021,RAGTIME INC,12685 VAN NUYS BLVD,PACOIMA,CA,90331,532299,Corporation,Unanswered,Male Owned,Non-Veteran,,,5/1/2020,"Wells Fargo Bank, National Association",
29806,"MID-FLOOR SYSTEMS, INC",23100 BAXTER RD,WILDOMAR,CA,92595,,Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"Bank of America, National Association",NV-02
29036,CHAPMAN BOARD AND CARE,10811 CHAPMAN AVE,GARDEN GROVE,CA,92820,623110,Corporation,Unanswered,Male Owned,Non-Veteran,,,5/1/2020,"Wells Fargo Bank, National Association",
28870,LIFELINE LEGAL LLP,9665 CHESAPEAKE DR STE 345,SAN DIEGO,CA,92723,541110,Limited Liability Partnership,Unanswered,Male Owned,Non-Veteran,,3,5/1/2020,"MUFG Union Bank, National Association",
28300,LAW OFFICES OF GREGORY S. PAGE,"34932 Calle del Sol, Suite C",Dana Point,CA,92426,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"Zions Bank, A Division of",
26880,MAYIM CORPORATION DBA SUDZ LAUNDRY DBA S,N/A,N/A,CA,,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,5/1/2020,"JPMorgan Chase Bank, National Association",
26445,"LADYBUG MUSIC, INC",12215 Ventura Blvd #114,Studio City,CA,91804,611699,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,5/1/2020,WebBank,
26280,"HOVERCAST, INC.",800 Wilshire Blvd,LOS ANGELES,CA,90017,511210,Corporation,Unanswered,Unanswered,Unanswered,,3,4/9/2020,Silicon Valley Bank,NY-10
24660,HENRY KUBOW DBA KUBOW & ASSOCIATES,"1100 W SHAW AVE, SUITE 124",FRESNO,CA,63711,541310,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"MUFG Union Bank, National Association",
22599,DUFFY'S LA HABRA,531 E IMPERIAL HIGHWAY,LA HABRA,CA,90361,921110,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
21389,XAVIA PROPERTIES,1326 SHORELINE DR,SANTA BARBARA,CA,93019,531120,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
20833.32,"PELAGIC RESEARCH SERVICES, LLC",6 Harbor Way #225,SANTA BARBARA,CA,93109,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/27/2020,American Riviera Bank,MA-09
20833,QUONE USA INC,3635 ELLIOTT STREET,SAN DIEGO,CA,29106,561990,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
20800,MARA I HAMPTON,2315 Alta Vista,Newport Beach,CA,92600,,Independent Contractors,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"Zions Bank, A Division of",
20355,"HILL STREET CREATIVE, INC",,Burbank,CA,59034,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,TCF National Bank,MT-
20000,HOPE FOR LIFE MINISTRIES,9853 N 48TH PL,PARADISE VALLEY,CA,85253,813110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",AZ-06
19755,DAVID RANCE INTERIORS,2321 E 4TH STREET,SANTA ANA,CA,29705,541410,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
19500,"RAZAVI LAW GROUP, A PROFESSIONAL CORPORATION",23052-H Alicia Parkway Ste 101,MISSION VIEJO,CA,92692,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,5/1/2020,"JPMorgan Chase Bank, National Association",
19187,GAME SEVEN LLC,1306 Kingsdale Ave,Redondo Beach,CA,20278,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/1/2020,WebBank,
18755,RICHARD HANSON,N/A,N/A,CA,,311421,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",
18527,JR AND D CORPORATION,N/A,N/A,CA,,561990,Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,"JPMorgan Chase Bank, National Association",
16458,"GOD WILLING INVESTEMENT, INC",1750 CREEKSIDE OAKS DR . SUITE 170,SACRAMENTO,CA,95533,523910,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
15809,TORRIJOS FAMILY CHIROPRACTIC INC,8678 19TH ST. #130,RANCHO CUCAMONGA,CA,91707,621310,Corporation,Unanswered,Male Owned,Non-Veteran,,,5/1/2020,"Wells Fargo Bank, National Association",
15696,PEER MEDICAL INC,232 SAN CARLOS STREET,SAN FRANCISCO,CA,94410,,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",
15587,SPARKLES LAUNDRY LLC,N/A,N/A,CA,,812310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,5/1/2020,"JPMorgan Chase Bank, National Association",
15500,"BRIDGE CONSULTANTS, INC.",318 AVENUE I #137,REDONDO BEACH,CA,90227,541618,Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"MUFG Union Bank, National Association",
15000,"ALENCAR CONSULTING, INC.",N/A,N/A,CA,,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"JPMorgan Chase Bank, National Association",
14912,"UNIQUE STONE &#X26; TILE, INC",7669 NE DAY RD,BAINBRIDGE ISLAND,CA,98110,,Corporation,Unanswered,Unanswered,Unanswered,,3,5/1/2020,"MUFG Union Bank, National Association",WA-06
14650,JACQUELINE SHOCKLEY,412 Owen Street,SANTA CRUZ,CA,95062,531210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,4/28/2020,Santa Cruz County Bank,HI-02
